Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
01/24/24,Student loan,Private student loan,Struggling to repay your loan,Can't get other flexible options for repaying your loan,,None,"Navient Solutions, LLC.",GA,30542,None,N/A,Referral,01/25/24,Closed with explanation,Yes,N/A,8227973
09/12/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,None,"Navient Solutions, LLC.",GA,30024,None,Consent not provided,Web,09/12/24,Closed with explanation,Yes,N/A,10106991
09/26/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,None,"Navient Solutions, LLC.",TX,77043,None,Consent not provided,Web,09/26/24,Closed with explanation,Yes,N/A,10254848
05/20/24,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,"********NOTE : THIS IS NOT A "" DUPLICATE COMPLAINT '' DO NOT CLOSE : ****** This is another issue entirely. 

I have a private student loan with Navient that consolidated XXXX loans from attendance at XXXX XXXX XXXX. The school listed on the loan application was XXXX XXXX XXXX. The loan application date was XX/XX/XXXX. The loan was disbursed on XX/XX/XXXX. Navient has the loan labeled as a XXXX  XXXX XXXX loan. This is incorrect and I have asked them to correctly label the loan as XXXX XXXX XXXX. They refuse to do so. 

They state that although the loan was for XXXX XXXX XXXX, I was attending the XXXX  XXXX XXXX at the time the loan was disbursed. This is incorrect. 

The Navient loan was disbursed on XX/XX/XXXX. My dates of attendance at the XXXX  XXXX XXXX started on XX/XX/XXXX and Navient acknowledges this in the letter they sent me. 
XXXX XXXX dates of attendance : XXXX Private loan application date : XX/XX/XXXX Loan originated : XX/XX/XXXX Loan disbursed : XX/XX/XXXX XXXX XXXX  XXXX dates XXXX attendance : XXXX I was not attending any school at the time of origination ( XX/XX/XXXX ) and disbursement ( XX/XX/XXXX ) and the most recent school I HAD attended was XXXX XXXX XXXX. 
NO loans associated with the XXXX  XXXX XXXX are included in this loan, at all and Navient acknowledges this. 
This loan is NOT a XXXX  XXXX XXXX loan and the documents attached attest to these facts. 
The loan needs to be labeled accurately as an XXXX XXXX XXXX loan. 
Any attempt to call this a XXXX  XXXX XXXX loan is FRAUD ( as defined by the state of XXXX  ( XXXX XXXX XXXX XXXX XXXX XXXX : means to knowingly obtain, by deception, some benefit for oneself or another, or to knowingly cause, by deception, some detriment to another ). The dates speak for themselves. Navient is clearly attempting to realize some benefit to their company by labeling this loan as something other than an XXXX XXXX loan.",None,"Navient Solutions, LLC.",OH,45440,Servicemember,Consent provided,Web,05/20/24,Closed with explanation,Yes,N/A,9049101
01/03/24,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,"I had arranged recurring payments with Navient, set at {$78.00} biweekly to manage my payments better. However, there was an instance where they missed withdrawing a payment. They've also claimed not to have received a payment on XX/XX/XXXX, despite my confirmation that the payment was made. This has me concerned about other potential errors in their management. I'm worried about the impact on my credit score due to their failure to honor the agreed-upon terms between myself and the financial institution, constituting a breach of our legally binding agreement. In addition to not taking out the funds they also never followed through on the agreement to send me the required documentation as mentioned in the text. I have attached the text to this complaint. 

Today, on XX/XX/XXXX, I contacted them regarding the missed payment. Initially, they stated they weren't aware of the reason, then mentioned it bounced back from the bank. When I requested documentation to verify this claim, they couldn't provide it, which seems suspicious. I had sufficient funds in the bank at the time, leading me to believe they didn't process the payment and are now seeking both the delayed payment and a late fee.",None,"Navient Solutions, LLC.",PA,186XX,None,Consent provided,Web,01/03/24,Closed with explanation,Yes,N/A,8099756
03/11/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Keep getting calls about your loan,"I am a co-signor on a student loan. I received a phone call on Thursday, XX/XX/XXXX from a representative with Navient. He did identify himself ; however, I let him know that I am not able to pay this loan for this student at this time and whatever steps Navient needed to take, knowing that information they should take them. I asked him if he has spoken to the student and he said no and I asked why and he stated they can't reach her. I again ask that he not call me further and that I am unable and unwilling to pay for the student 's loan. He got aggravated and raised his voice, stating that I didn't have a choice in the matter and that I am responsible. He told me in a threatening tone that he would be forced to take action against me. I was at work during this phone call. Later that I evening I received an email at my work email requesting an employment verification. I am not sure what my rights are here, but I felt the call was very aggressive and threatening.",None,"Navient Solutions, LLC.",NY,131XX,Servicemember,Consent provided,Web,03/11/24,Closed with explanation,Yes,N/A,8525020
08/12/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Need information about your loan balance or loan terms,"XXXX XXXX XXXX sent a request for validation of debt to XXXX XXXX XXXX, XXXX and XXXX of Navient Solutions Inc via certified mail on XX/XX/2024. There has been no response to this request as required by 15 USC 1692 g.

Instead Navient Solutions has sent an email to XXXX XXXX XXXX stating that this loan is to be transferred in XX/XX/2024. This company violates 16 CFR 313.7 as they have never provided consumer opt out notices for disclosure of non public information to third parties including reporting agencies. 

Furthermore, this company continues to call XXXX XXXX XXXX for payment for an unvalidated debt. 

UCC-11 search results and certificate for the name XXXX XXXX XXXX state that XXXX XXXX XXXX is not a debtor. 

Should Navient Solutions Inc be collecting Federal Reserve notes for a debt that can not be validated this company is in violation of 15 USC 1692 e ( 2 ).",None,"Navient Solutions, LLC.",VA,22630,None,Consent provided,Web,08/14/24,Closed with explanation,Yes,N/A,9775616
06/03/24,Student loan,Private student loan,Getting a loan,Confusing or misleading advertising,"To Whom It May Concern, Before attending XXXX XXXX  XXXX XXXX XXXX I was deceived by a recruiter that advertised at my high school and told me false information on graduation rates, job placements, and the type of education I would receive while attending. XXXX XXXXXXXX XXXX XXXX XXXX XXXX advertisement also backed these claims of school misconduct. I also attended an open house at XXXX XXXX XXXXXXXX XXXX XXXXXXXX where false information was told about the graduation rate and job placements. 


While attending XXXX XXXX  XXXX XXXX XXXX ( XXXX ) I was misinformed about the job placement rate students acquired after graduating. My advisor kept steering me to take out certain loans with high interest. I was unaware at the time of the arrangement XXXX XXXX XXXX XXXX XXXXXXXX had with Navient to finance my education through dept that I would be unable to repay. 


After graduating there was a recession. I found out my student credits could not be transferred or recognized by any other school. My loan servicer ( Sallie Mae now Navient ) kept steering me into forbearance for both my private and federal loans. For my private loans they did not offer me income repayment program instead charged me high interest only. During the Pandemic I had to file bankruptcy due to losing my job. I was unable to pay my private loans for a number of months. I suffered hardship and this cause emotional distress. 


My school, XXXX XXXX XXXXXXXX XXXX XXXXXXXX has since closed down and was the target of state and federal investigations into its high-pressure sales tactics, low quality programs and poor student outcomes. XXXX XXXXXXXX XXXX XXXX XXXX had since been sued. And I read the accreditation bureau that serviced my school has been stripped of its status ( XXXX ). Navient has given relief to its borrowers due to the lawsuit brought by the Attorney Generals, but I have not received a letter of discharge. I believe my loans should have been included in the lawsuit against Navient brought by the Attorney generals. I took out my loans in XXXX, went to a for profit school, education was subpar, missed consecutive payments and was steered into forbearance. I believe the Holder rule applies to my loans. 


I applied for the Borrowers Defense of my federal loans and received a discharge on my federal loans. But, I have not received notification regarding my private loans. I would like to obtain a discharge application for my Private Loans. Thank you for answering my email. 



Best Regards, XXXX XXXX",None,"Navient Solutions, LLC.",CA,90046,None,Consent provided,Web,06/03/24,Closed with explanation,Yes,N/A,9166258
09/12/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,,None,"Navient Solutions, LLC.",TX,76001,None,Consent not provided,Web,09/12/24,Closed with explanation,Yes,N/A,10098190
07/05/24,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Received bad information about your loan,"I have informed Navient this is an fraudulent acct from XXXX from a school I never attended, Navient just keep sending documentation on fraudulent signature, I requested copies of attendance school manuscript all possible information that leads me to this school. Navient is constantly increasing my balance due to interest since XXXX, when the balance beginning was {$1900.00} as of XX/XX/XXXX its now {$16000.00}. I have been dealing with Navient since I started receiving these documentations of fraudulent sending in my signature which they required, Navient requested I get a police report from 25 years ago which I stated I didn't know of a fraudulent crime was committed until they have provided me with documentation, I have completely worked with Navient to solve this matter because it is affecting my credit report and it is well over due for deletion. Navient has just ignored my responses to this matter and have remain charging me interest which is constantly increasing. 
Thank you.",None,"Navient Solutions, LLC.",VA,23235,None,Consent provided,Web,07/05/24,Closed with explanation,Yes,N/A,9435577
10/14/24,Student loan,Federal student loan servicing,Struggling to repay your loan,Problem lowering your monthly payments,,None,"Navient Solutions, LLC.",GA,30236,None,Consent not provided,Web,10/14/24,Closed with explanation,Yes,N/A,10447984
05/09/24,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,"I notified Navient a year ago that I was part of the XXXX XXXX XXXX XXXX and they haven't been giving me accurate information about how to discharge the loan under the Holder Rule. They have been collecting payments on these loans while violating the Fair Debt Collections Act while giving me bad information, collecting on a debt they aren't legally allowed to and giving the false impression that I need to give them more information on top of what I already gave them in the form of a 12-13 page application. They are miscontruing the statements of the Federal Government to lie about statements given about the Insitutional Misconduct that was reported on and in an attempt to continue collecting on the debt or delay to where the company can transfer the contract to another company.",None,"Navient Solutions, LLC.",OH,440XX,None,Consent provided,Web,05/09/24,Closed with explanation,Yes,N/A,8973796
10/14/24,Student loan,Private student loan,Dealing with your lender or servicer,Received bad information about your loan,Misleading me about improvement in credit score and the consequences of federal student loan rehabilitation.,None,"Navient Solutions, LLC.",PA,19152,None,Consent provided,Web,10/14/24,Closed with explanation,Yes,N/A,10451623
